Data,#Samples,# Dimensions,Outlier Perc,"('LODA', (5, 10))","('LODA', (5, 20))","('LODA', (5, 30))","('LODA', (5, 40))","('LODA', (5, 50))","('LODA', (5, 75))","('LODA', (5, 100))","('LODA', (5, 150))","('LODA', (5, 200))","('LODA', (10, 10))","('LODA', (10, 20))","('LODA', (10, 30))","('LODA', (10, 40))","('LODA', (10, 50))","('LODA', (10, 75))","('LODA', (10, 100))","('LODA', (10, 150))","('LODA', (10, 200))","('LODA', (15, 10))","('LODA', (15, 20))","('LODA', (15, 30))","('LODA', (15, 40))","('LODA', (15, 50))","('LODA', (15, 75))","('LODA', (15, 100))","('LODA', (15, 150))","('LODA', (15, 200))","('LODA', (20, 10))","('LODA', (20, 20))","('LODA', (20, 30))","('LODA', (20, 40))","('LODA', (20, 50))","('LODA', (20, 75))","('LODA', (20, 100))","('LODA', (20, 150))","('LODA', (20, 200))","('LODA', (25, 10))","('LODA', (25, 20))","('LODA', (25, 30))","('LODA', (25, 40))","('LODA', (25, 50))","('LODA', (25, 75))","('LODA', (25, 100))","('LODA', (25, 150))","('LODA', (25, 200))","('LODA', (30, 10))","('LODA', (30, 20))","('LODA', (30, 30))","('LODA', (30, 40))","('LODA', (30, 50))","('LODA', (30, 75))","('LODA', (30, 100))","('LODA', (30, 150))","('LODA', (30, 200))","('ABOD', 3)","('ABOD', 5)","('ABOD', 10)","('ABOD', 15)","('ABOD', 20)","('ABOD', 25)","('ABOD', 50)","('IForest', (10, 0.1))","('IForest', (10, 0.2))","('IForest', (10, 0.3))","('IForest', (10, 0.4))","('IForest', (10, 0.5))","('IForest', (10, 0.6))","('IForest', (10, 0.7))","('IForest', (10, 0.8))","('IForest', (10, 0.9))","('IForest', (20, 0.1))","('IForest', (20, 0.2))","('IForest', (20, 0.3))","('IForest', (20, 0.4))","('IForest', (20, 0.5))","('IForest', (20, 0.6))","('IForest', (20, 0.7))","('IForest', (20, 0.8))","('IForest', (20, 0.9))","('IForest', (30, 0.1))","('IForest', (30, 0.2))","('IForest', (30, 0.3))","('IForest', (30, 0.4))","('IForest', (30, 0.5))","('IForest', (30, 0.6))","('IForest', (30, 0.7))","('IForest', (30, 0.8))","('IForest', (30, 0.9))","('IForest', (40, 0.1))","('IForest', (40, 0.2))","('IForest', (40, 0.3))","('IForest', (40, 0.4))","('IForest', (40, 0.5))","('IForest', (40, 0.6))","('IForest', (40, 0.7))","('IForest', (40, 0.8))","('IForest', (40, 0.9))","('IForest', (50, 0.1))","('IForest', (50, 0.2))","('IForest', (50, 0.3))","('IForest', (50, 0.4))","('IForest', (50, 0.5))","('IForest', (50, 0.6))","('IForest', (50, 0.7))","('IForest', (50, 0.8))","('IForest', (50, 0.9))","('IForest', (75, 0.1))","('IForest', (75, 0.2))","('IForest', (75, 0.3))","('IForest', (75, 0.4))","('IForest', (75, 0.5))","('IForest', (75, 0.6))","('IForest', (75, 0.7))","('IForest', (75, 0.8))","('IForest', (75, 0.9))","('IForest', (100, 0.1))","('IForest', (100, 0.2))","('IForest', (100, 0.3))","('IForest', (100, 0.4))","('IForest', (100, 0.5))","('IForest', (100, 0.6))","('IForest', (100, 0.7))","('IForest', (100, 0.8))","('IForest', (100, 0.9))","('IForest', (150, 0.1))","('IForest', (150, 0.2))","('IForest', (150, 0.3))","('IForest', (150, 0.4))","('IForest', (150, 0.5))","('IForest', (150, 0.6))","('IForest', (150, 0.7))","('IForest', (150, 0.8))","('IForest', (150, 0.9))","('IForest', (200, 0.1))","('IForest', (200, 0.2))","('IForest', (200, 0.3))","('IForest', (200, 0.4))","('IForest', (200, 0.5))","('IForest', (200, 0.6))","('IForest', (200, 0.7))","('IForest', (200, 0.8))","('IForest', (200, 0.9))","('kNN', ('largest', 1))","('kNN', ('largest', 5))","('kNN', ('largest', 10))","('kNN', ('largest', 15))","('kNN', ('largest', 20))","('kNN', ('largest', 25))","('kNN', ('largest', 50))","('kNN', ('largest', 60))","('kNN', ('largest', 70))","('kNN', ('largest', 80))","('kNN', ('largest', 90))","('kNN', ('largest', 100))","('kNN', ('mean', 1))","('kNN', ('mean', 5))","('kNN', ('mean', 10))","('kNN', ('mean', 15))","('kNN', ('mean', 20))","('kNN', ('mean', 25))","('kNN', ('mean', 50))","('kNN', ('mean', 60))","('kNN', ('mean', 70))","('kNN', ('mean', 80))","('kNN', ('mean', 90))","('kNN', ('mean', 100))","('kNN', ('median', 1))","('kNN', ('median', 5))","('kNN', ('median', 10))","('kNN', ('median', 15))","('kNN', ('median', 20))","('kNN', ('median', 25))","('kNN', ('median', 50))","('kNN', ('median', 60))","('kNN', ('median', 70))","('kNN', ('median', 80))","('kNN', ('median', 90))","('kNN', ('median', 100))","('LOF', ('manhattan', 1))","('LOF', ('manhattan', 5))","('LOF', ('manhattan', 10))","('LOF', ('manhattan', 15))","('LOF', ('manhattan', 20))","('LOF', ('manhattan', 25))","('LOF', ('manhattan', 50))","('LOF', ('manhattan', 60))","('LOF', ('manhattan', 70))","('LOF', ('manhattan', 80))","('LOF', ('manhattan', 90))","('LOF', ('manhattan', 100))","('LOF', ('euclidean', 1))","('LOF', ('euclidean', 5))","('LOF', ('euclidean', 10))","('LOF', ('euclidean', 15))","('LOF', ('euclidean', 20))","('LOF', ('euclidean', 25))","('LOF', ('euclidean', 50))","('LOF', ('euclidean', 60))","('LOF', ('euclidean', 70))","('LOF', ('euclidean', 80))","('LOF', ('euclidean', 90))","('LOF', ('euclidean', 100))","('LOF', ('minkowski', 1))","('LOF', ('minkowski', 5))","('LOF', ('minkowski', 10))","('LOF', ('minkowski', 15))","('LOF', ('minkowski', 20))","('LOF', ('minkowski', 25))","('LOF', ('minkowski', 50))","('LOF', ('minkowski', 60))","('LOF', ('minkowski', 70))","('LOF', ('minkowski', 80))","('LOF', ('minkowski', 90))","('LOF', ('minkowski', 100))","('HBOS', (5, 0.1))","('HBOS', (5, 0.2))","('HBOS', (5, 0.3))","('HBOS', (5, 0.4))","('HBOS', (5, 0.5))","('HBOS', (10, 0.1))","('HBOS', (10, 0.2))","('HBOS', (10, 0.3))","('HBOS', (10, 0.4))","('HBOS', (10, 0.5))","('HBOS', (20, 0.1))","('HBOS', (20, 0.2))","('HBOS', (20, 0.3))","('HBOS', (20, 0.4))","('HBOS', (20, 0.5))","('HBOS', (30, 0.1))","('HBOS', (30, 0.2))","('HBOS', (30, 0.3))","('HBOS', (30, 0.4))","('HBOS', (30, 0.5))","('HBOS', (40, 0.1))","('HBOS', (40, 0.2))","('HBOS', (40, 0.3))","('HBOS', (40, 0.4))","('HBOS', (40, 0.5))","('HBOS', (50, 0.1))","('HBOS', (50, 0.2))","('HBOS', (50, 0.3))","('HBOS', (50, 0.4))","('HBOS', (50, 0.5))","('HBOS', (75, 0.1))","('HBOS', (75, 0.2))","('HBOS', (75, 0.3))","('HBOS', (75, 0.4))","('HBOS', (75, 0.5))","('HBOS', (100, 0.1))","('HBOS', (100, 0.2))","('HBOS', (100, 0.3))","('HBOS', (100, 0.4))","('HBOS', (100, 0.5))","('OCSVM', ('linear', 0.1))","('OCSVM', ('linear', 0.2))","('OCSVM', ('linear', 0.3))","('OCSVM', ('linear', 0.4))","('OCSVM', ('linear', 0.5))","('OCSVM', ('linear', 0.6))","('OCSVM', ('linear', 0.7))","('OCSVM', ('linear', 0.8))","('OCSVM', ('linear', 0.9))","('OCSVM', ('poly', 0.1))","('OCSVM', ('poly', 0.2))","('OCSVM', ('poly', 0.3))","('OCSVM', ('poly', 0.4))","('OCSVM', ('poly', 0.5))","('OCSVM', ('poly', 0.6))","('OCSVM', ('poly', 0.7))","('OCSVM', ('poly', 0.8))","('OCSVM', ('poly', 0.9))","('OCSVM', ('rbf', 0.1))","('OCSVM', ('rbf', 0.2))","('OCSVM', ('rbf', 0.3))","('OCSVM', ('rbf', 0.4))","('OCSVM', ('rbf', 0.5))","('OCSVM', ('rbf', 0.6))","('OCSVM', ('rbf', 0.7))","('OCSVM', ('rbf', 0.8))","('OCSVM', ('rbf', 0.9))","('OCSVM', ('sigmoid', 0.1))","('OCSVM', ('sigmoid', 0.2))","('OCSVM', ('sigmoid', 0.3))","('OCSVM', ('sigmoid', 0.4))","('OCSVM', ('sigmoid', 0.5))","('OCSVM', ('sigmoid', 0.6))","('OCSVM', ('sigmoid', 0.7))","('OCSVM', ('sigmoid', 0.8))","('OCSVM', ('sigmoid', 0.9))","('COF', 3)","('COF', 5)","('COF', 10)","('COF', 15)","('COF', 20)","('COF', 25)","('COF', 50)"
Annthyroid,7129,21,7.4905,0.0412,0.1067,0.0655,0.0449,0.1442,0.0712,0.0712,0.0318,0.0749,0.0337,0.0936,0.2172,0.0974,0.1685,0.0562,0.0936,0.0899,0.1873,0.1105,0.1124,0.0318,0.0918,0.1067,0.0524,0.1386,0.0637,0.088,0.0393,0.0974,0.0768,0.015,0.118,0.1779,0.1835,0.1948,0.118,0.0318,0.1367,0.0712,0.1985,0.1985,0.1966,0.0955,0.0861,0.1873,0.2584,0.0955,0.2434,0.1461,0.1554,0.133,0.1667,0.1423,0.2041,0.1648,0.1517,0.1554,0.1536,0.1517,0.1498,0.1442,0.2472,0.2734,0.2022,0.2416,0.1929,0.1442,0.161,0.191,0.1442,0.3352,0.3034,0.2472,0.1891,0.191,0.1966,0.1592,0.1442,0.1592,0.3315,0.2828,0.2528,0.2135,0.1798,0.1929,0.1966,0.1573,0.1685,0.2884,0.279,0.2491,0.2285,0.1985,0.1704,0.1685,0.1629,0.1554,0.294,0.264,0.236,0.2247,0.1929,0.1648,0.1685,0.1648,0.1536,0.294,0.2846,0.2416,0.2172,0.1873,0.1742,0.1835,0.1685,0.1798,0.3015,0.2903,0.2378,0.2135,0.1966,0.1816,0.1816,0.1554,0.1685,0.3034,0.294,0.2453,0.2172,0.1948,0.161,0.1704,0.1704,0.1573,0.3408,0.2865,0.2509,0.2247,0.1948,0.1854,0.1742,0.1723,0.1536,0.1723,0.1386,0.1255,0.1255,0.1311,0.1311,0.1348,0.1348,0.118,0.1161,0.1049,0.0955,0.1723,0.1498,0.1423,0.133,0.1311,0.1273,0.133,0.133,0.133,0.133,0.133,0.1236,0.1723,0.1536,0.1423,0.1311,0.1236,0.1236,0.1311,0.1311,0.1311,0.1311,0.1348,0.1348,0.118,0.1479,0.1536,0.161,0.1723,0.1798,0.1854,0.1816,0.1854,0.1816,0.1536,0.1292,0.0993,0.1667,0.1592,0.1704,0.1667,0.1648,0.1742,0.1723,0.1704,0.191,0.1854,0.1798,0.0993,0.1667,0.1592,0.1704,0.1667,0.1648,0.1742,0.1723,0.1704,0.191,0.1854,0.1798,0.0449,0.0469,0.045,0.0393,0.0376,0.1498,0.1236,0.1142,0.0899,0.0899,0.2266,0.1839,0.1592,0.1404,0.1236,0.2715,0.2266,0.1985,0.1723,0.1517,0.2846,0.2322,0.1985,0.1704,0.1629,0.3034,0.264,0.2322,0.2079,0.1779,0.3258,0.2959,0.2659,0.2434,0.2228,0.3333,0.3146,0.2846,0.2622,0.236,0.0281,0.0431,0.0094,0.0655,0.015,0.0225,0.1704,0.0281,0.1011,0.0674,0.0637,0.0581,0.0562,0.0562,0.0487,0.0468,0.0618,0.1461,0.133,0.1161,0.1011,0.0993,0.0974,0.0918,0.088,0.088,0.088,0.0524,0.0693,0.0805,0.0955,0.0936,0.0805,0.0655,0.0618,0.0637,0.1311,0.1667,0.1629,0.161,0.1685,0.1704,0.176
Arrhythmia,450,259,45.7778,0.3883,0.4806,0.4272,0.4029,0.4903,0.5243,0.5097,0.5583,0.5874,0.5728,0.5243,0.6165,0.5971,0.6359,0.6311,0.6214,0.6019,0.6214,0.6311,0.5777,0.6165,0.6214,0.6117,0.6359,0.6311,0.6602,0.6214,0.6456,0.6262,0.665,0.6311,0.6214,0.6262,0.6068,0.6408,0.6214,0.5971,0.6602,0.6165,0.6553,0.6748,0.6262,0.6165,0.6359,0.6311,0.6262,0.665,0.6359,0.6748,0.6359,0.6505,0.6359,0.6505,0.6456,0.6311,0.6214,0.6456,0.6214,0.6311,0.6262,0.6359,0.6214,0.6602,0.6553,0.6553,0.6311,0.6359,0.6408,0.6262,0.6456,0.6602,0.6359,0.6359,0.6408,0.6408,0.6456,0.6262,0.6602,0.6408,0.6311,0.6408,0.665,0.6748,0.6602,0.6602,0.6505,0.6505,0.6553,0.6699,0.6602,0.6408,0.6505,0.6359,0.6602,0.6602,0.6553,0.6602,0.665,0.665,0.6456,0.6553,0.665,0.6505,0.6602,0.6553,0.6456,0.6505,0.6699,0.6553,0.6748,0.6553,0.6602,0.665,0.6553,0.6602,0.6602,0.6553,0.665,0.6602,0.665,0.6699,0.665,0.6699,0.6602,0.665,0.6505,0.665,0.6796,0.6553,0.6553,0.6553,0.665,0.6602,0.6553,0.6553,0.6748,0.6602,0.665,0.6748,0.6553,0.665,0.6699,0.6359,0.6408,0.6408,0.6359,0.6359,0.6359,0.6359,0.6359,0.6359,0.6408,0.6359,0.6456,0.6359,0.6408,0.6359,0.6359,0.6359,0.6359,0.6311,0.6311,0.6311,0.6359,0.6359,0.6359,0.6359,0.6359,0.6456,0.6456,0.6408,0.6311,0.6359,0.6359,0.6359,0.6359,0.6359,0.6359,0.6262,0.6505,0.6602,0.6699,0.665,0.665,0.6505,0.6505,0.6553,0.6505,0.6602,0.6602,0.6311,0.6359,0.6456,0.6311,0.6408,0.6408,0.6408,0.6359,0.6359,0.6311,0.6311,0.6359,0.6311,0.6359,0.6456,0.6311,0.6408,0.6408,0.6408,0.6359,0.6359,0.6311,0.6311,0.6359,0.6408,0.6456,0.6408,0.6408,0.6408,0.6359,0.6359,0.6408,0.6408,0.6456,0.6214,0.6214,0.6214,0.6262,0.6214,0.6359,0.6408,0.6408,0.6359,0.6359,0.6262,0.6262,0.6262,0.6262,0.6311,0.6262,0.6311,0.6262,0.6262,0.6311,0.6311,0.6311,0.6214,0.6214,0.6262,0.6408,0.6311,0.6311,0.6359,0.6359,0.4223,0.4126,0.4515,0.4078,0.4854,0.4078,0.4223,0.4078,0.3981,0.335,0.335,0.335,0.3204,0.2913,0.2913,0.2864,0.301,0.2961,0.6262,0.6262,0.6262,0.6408,0.6456,0.6408,0.6505,0.6505,0.6456,0.3398,0.3398,0.4078,0.432,0.4612,0.4951,0.5097,0.568,0.6165,0.6602,0.6553,0.6408,0.6359,0.6553,0.665,0.6505
Cardiotocography,2114,21,22.0435,0.3627,0.4936,0.2597,0.2425,0.3176,0.4227,0.2575,0.367,0.2854,0.5129,0.5322,0.4356,0.3991,0.5751,0.3927,0.4549,0.4828,0.4421,0.5472,0.4292,0.3712,0.4957,0.382,0.5236,0.5365,0.3777,0.3948,0.3305,0.3648,0.3519,0.4206,0.3433,0.397,0.5043,0.4614,0.4163,0.3541,0.2725,0.3433,0.515,0.3948,0.397,0.4099,0.4657,0.4099,0.3906,0.3348,0.3712,0.397,0.3991,0.3927,0.4249,0.4099,0.3863,0.221,0.2275,0.2704,0.2768,0.2811,0.2854,0.2983,0.3391,0.3777,0.4549,0.3476,0.3884,0.4313,0.4185,0.3991,0.3541,0.397,0.3584,0.4249,0.4163,0.4099,0.3777,0.3841,0.4013,0.3906,0.412,0.4549,0.397,0.3798,0.3755,0.3648,0.4485,0.412,0.4206,0.3948,0.382,0.3755,0.3841,0.3841,0.412,0.397,0.3712,0.3798,0.3648,0.4077,0.412,0.4013,0.4013,0.4206,0.3755,0.3906,0.3777,0.4206,0.3798,0.4206,0.3927,0.367,0.4185,0.3712,0.4206,0.3948,0.3948,0.3906,0.3991,0.4077,0.3991,0.3991,0.3927,0.3906,0.4142,0.4034,0.3927,0.4077,0.4013,0.382,0.397,0.3841,0.3906,0.3991,0.3863,0.4099,0.4077,0.3906,0.3991,0.3991,0.3948,0.3755,0.3906,0.2146,0.3047,0.3305,0.3262,0.3219,0.324,0.3197,0.3176,0.3155,0.3197,0.3176,0.3197,0.2146,0.2897,0.3219,0.3176,0.3262,0.3262,0.3262,0.324,0.324,0.324,0.3197,0.3197,0.2146,0.2961,0.3176,0.3262,0.3262,0.3262,0.324,0.324,0.3219,0.324,0.324,0.3197,0.2747,0.2661,0.3047,0.2747,0.2725,0.2704,0.2597,0.2639,0.2725,0.2876,0.3133,0.3369,0.2232,0.2704,0.294,0.2876,0.2833,0.2768,0.2768,0.2833,0.2983,0.3133,0.3348,0.3519,0.2232,0.2704,0.294,0.2876,0.2833,0.2768,0.2768,0.2833,0.2983,0.3133,0.3348,0.3519,0.3197,0.3133,0.3112,0.3133,0.3112,0.3262,0.3219,0.3219,0.3219,0.3176,0.3155,0.3004,0.3004,0.294,0.294,0.3047,0.3026,0.2983,0.2983,0.2983,0.309,0.309,0.3004,0.3026,0.2983,0.3069,0.3004,0.3026,0.3004,0.2961,0.3112,0.3047,0.2983,0.2983,0.2961,0.3004,0.2854,0.2768,0.2725,0.2704,0.1416,0.0687,0.0494,0.2167,0.103,0.2296,0.1888,0.103,0.1094,0.118,0.0858,0.0794,0.0751,0.0794,0.0815,0.0794,0.0708,0.0515,0.4399,0.4013,0.4056,0.3906,0.3884,0.382,0.3798,0.3798,0.3691,0.3133,0.3712,0.3798,0.4142,0.4356,0.47,0.485,0.4893,0.5,0.2382,0.2446,0.2768,0.2704,0.2811,0.2811,0.2554
HeartDisease,270,13,44.4444,0.425,0.5833,0.6667,0.45,0.5833,0.375,0.55,0.4167,0.6917,0.4083,0.475,0.5167,0.3833,0.5667,0.575,0.6833,0.6917,0.525,0.5083,0.4667,0.6667,0.45,0.6417,0.5167,0.4333,0.3583,0.5333,0.6083,0.375,0.5,0.5583,0.5917,0.6667,0.6417,0.55,0.6083,0.5667,0.4167,0.6583,0.55,0.55,0.4833,0.575,0.4833,0.575,0.375,0.5667,0.6583,0.45,0.4083,0.6333,0.4083,0.4667,0.5667,0.5667,0.525,0.5083,0.5083,0.5167,0.5083,0.5083,0.525,0.5417,0.5167,0.5167,0.4833,0.475,0.4583,0.4833,0.4833,0.5083,0.5333,0.5333,0.55,0.5333,0.475,0.4667,0.475,0.5,0.5,0.5,0.4833,0.5,0.4667,0.4917,0.5,0.5083,0.5333,0.525,0.5333,0.5333,0.475,0.475,0.5083,0.5,0.5,0.5,0.5833,0.5417,0.525,0.4583,0.475,0.525,0.4917,0.4833,0.5,0.55,0.5,0.5,0.475,0.5,0.4833,0.5,0.525,0.4917,0.5,0.5083,0.5167,0.4917,0.4917,0.4833,0.4833,0.5167,0.5083,0.5333,0.4917,0.5167,0.4917,0.5083,0.5,0.5083,0.4833,0.5083,0.525,0.5417,0.5083,0.4833,0.4917,0.475,0.4917,0.4833,0.4917,0.5333,0.5167,0.5167,0.5167,0.5417,0.525,0.5583,0.575,0.5583,0.5667,0.55,0.5583,0.5333,0.5333,0.525,0.5333,0.5167,0.5083,0.525,0.525,0.5333,0.5333,0.5417,0.55,0.5333,0.5333,0.5083,0.5083,0.5167,0.525,0.525,0.5417,0.5333,0.55,0.5583,0.5583,0.4333,0.475,0.4333,0.4667,0.45,0.45,0.4833,0.5083,0.55,0.5667,0.575,0.5917,0.4667,0.475,0.4417,0.4667,0.475,0.4667,0.525,0.5417,0.5583,0.5667,0.5667,0.575,0.4667,0.475,0.4417,0.4667,0.475,0.4667,0.525,0.5417,0.5583,0.5667,0.5667,0.575,0.5667,0.5667,0.5583,0.5583,0.55,0.55,0.55,0.5583,0.55,0.55,0.575,0.5667,0.575,0.5667,0.5667,0.6833,0.675,0.6667,0.6583,0.65,0.575,0.5833,0.5667,0.5667,0.5583,0.6833,0.6833,0.6833,0.6667,0.6583,0.475,0.4917,0.4917,0.5,0.5,0.6417,0.65,0.6417,0.65,0.65,0.3583,0.4417,0.425,0.3917,0.5167,0.35,0.3583,0.4,0.475,0.425,0.3917,0.3833,0.425,0.4083,0.425,0.4167,0.4,0.375,0.4583,0.475,0.4833,0.4917,0.4833,0.4667,0.4917,0.5,0.5083,0.4333,0.4583,0.4917,0.4583,0.45,0.4917,0.5083,0.525,0.5417,0.4667,0.475,0.4417,0.4583,0.4417,0.4833,0.525
InternetAds,1966,1555,18.7182,0.2779,0.1467,0.1902,0.1444,0.1549,0.2174,0.1929,0.1685,0.1766,0.2935,0.3098,0.1685,0.2853,0.2255,0.2853,0.2092,0.1549,0.3016,0.269,0.1875,0.2745,0.2799,0.356,0.2473,0.3342,0.337,0.3098,0.2826,0.2962,0.2038,0.2799,0.2582,0.2636,0.2582,0.3315,0.3641,0.2255,0.288,0.3288,0.2609,0.288,0.3098,0.3152,0.3234,0.3315,0.2582,0.2147,0.3098,0.3533,0.269,0.3125,0.356,0.3397,0.2962,0.2016,0.2228,0.3478,0.394,0.4321,0.4185,0.3913,0.4905,0.4278,0.4321,0.4592,0.375,0.3587,0.4239,0.4076,0.3832,0.4484,0.4511,0.4484,0.4565,0.4647,0.375,0.3859,0.4484,0.4402,0.5014,0.5027,0.462,0.4239,0.4755,0.4348,0.4511,0.4728,0.4158,0.4701,0.4565,0.5,0.4755,0.4864,0.4728,0.3886,0.4375,0.462,0.4783,0.4103,0.4076,0.4429,0.4429,0.4538,0.3886,0.4293,0.4266,0.4755,0.4783,0.4565,0.4701,0.4728,0.4565,0.4348,0.4212,0.4592,0.4538,0.4511,0.4375,0.4402,0.4728,0.4728,0.4592,0.4592,0.4565,0.4783,0.4701,0.4538,0.462,0.4429,0.4565,0.4538,0.4647,0.4728,0.4565,0.4266,0.4647,0.4864,0.4701,0.4701,0.4783,0.4674,0.4538,0.2603,0.3234,0.2772,0.3451,0.3433,0.3397,0.3451,0.3451,0.3451,0.3451,0.3451,0.3451,0.2603,0.3016,0.3261,0.3614,0.3723,0.3804,0.3533,0.3533,0.3533,0.3533,0.3533,0.3505,0.2603,0.3451,0.337,0.3098,0.2908,0.3478,0.3397,0.3397,0.3424,0.3424,0.3424,0.3451,0.1603,0.2554,0.2962,0.3152,0.3913,0.394,0.3397,0.3315,0.3342,0.3315,0.3342,0.3451,0.1168,0.1957,0.2663,0.25,0.3152,0.3587,0.3451,0.346,0.3397,0.3397,0.337,0.3397,0.1168,0.1957,0.2663,0.25,0.3152,0.3587,0.3451,0.346,0.3397,0.3397,0.337,0.3397,0.462,0.4429,0.4457,0.4375,0.4293,0.4701,0.462,0.4511,0.4429,0.4429,0.4783,0.4701,0.4647,0.462,0.4538,0.4755,0.4783,0.4701,0.4674,0.462,0.4728,0.4783,0.4783,0.4701,0.4674,0.4728,0.4783,0.4783,0.4728,0.4701,0.4701,0.4728,0.4783,0.4783,0.4783,0.4674,0.4728,0.4728,0.4783,0.4783,0.2147,0.2038,0.2174,0.1848,0.1848,0.2337,0.2065,0.231,0.1984,0.1413,0.1304,0.1277,0.1277,0.1332,0.1413,0.1386,0.1359,0.1359,0.3288,0.3451,0.3505,0.3505,0.3505,0.3424,0.3424,0.3424,0.3424,0.1712,0.2065,0.2473,0.3152,0.3424,0.3505,0.337,0.3098,0.3125,0.1739,0.2337,0.269,0.3179,0.3071,0.3315,0.356
PageBlocks,5393,10,9.4567,0.2283,0.222,0.3419,0.2039,0.5118,0.3039,0.3347,0.2912,0.4373,0.4761,0.4238,0.5339,0.3667,0.4804,0.3882,0.5373,0.4784,0.598,0.3314,0.3961,0.5765,0.4549,0.4882,0.5843,0.5431,0.5157,0.4941,0.4039,0.4647,0.4804,0.5157,0.6549,0.5176,0.3961,0.4863,0.5176,0.3843,0.5471,0.6392,0.5549,0.5353,0.5392,0.4961,0.4373,0.5,0.3929,0.3,0.5196,0.4824,0.4608,0.5078,0.4843,0.4961,0.4882,0.3608,0.4,0.4216,0.4392,0.4451,0.4471,0.4588,0.351,0.4137,0.4235,0.3902,0.4784,0.4275,0.4353,0.4,0.4078,0.3843,0.4059,0.3706,0.4431,0.4137,0.4,0.3941,0.4235,0.4137,0.2627,0.3706,0.3961,0.4137,0.3961,0.4314,0.4137,0.398,0.4353,0.298,0.3745,0.4,0.4039,0.4137,0.3863,0.4078,0.4255,0.398,0.3196,0.4353,0.4098,0.4137,0.3824,0.3961,0.4098,0.398,0.4137,0.3255,0.3765,0.3902,0.398,0.4039,0.4098,0.4196,0.4176,0.4176,0.3216,0.3902,0.4059,0.3941,0.3941,0.4275,0.4314,0.4078,0.4196,0.3039,0.3784,0.3961,0.4039,0.4078,0.402,0.4157,0.4059,0.4039,0.3314,0.3902,0.398,0.3961,0.3941,0.4039,0.4176,0.4098,0.402,0.3804,0.4863,0.4922,0.5078,0.5255,0.5333,0.5451,0.5392,0.5314,0.5255,0.5235,0.5157,0.3804,0.4667,0.4902,0.4961,0.4902,0.5039,0.5255,0.5333,0.5412,0.5392,0.5373,0.5333,0.3804,0.4647,0.4863,0.4941,0.4961,0.4941,0.5333,0.5431,0.5412,0.5451,0.5431,0.5451,0.1255,0.2451,0.2843,0.3078,0.3451,0.3451,0.4255,0.4569,0.4745,0.5059,0.5216,0.5471,0.1333,0.2608,0.2843,0.2941,0.349,0.3294,0.4216,0.4412,0.4647,0.4863,0.5,0.5137,0.1333,0.2608,0.2843,0.2941,0.349,0.3294,0.4216,0.4412,0.4647,0.4863,0.5,0.5137,0.2851,0.278,0.2783,0.2783,0.2783,0.299,0.288,0.2892,0.2824,0.2824,0.1434,0.1235,0.1196,0.1157,0.1081,0.1235,0.1176,0.1157,0.1157,0.1081,0.1255,0.1196,0.1196,0.1196,0.1196,0.1275,0.1257,0.1216,0.1216,0.1216,0.1157,0.1078,0.1059,0.1059,0.102,0.1176,0.1118,0.1039,0.102,0.0961,0.0843,0.1725,0.049,0.2569,0.2745,0.2902,0.2431,0.1588,0.2627,0.0098,0.0216,0.0255,0.0275,0.0333,0.0373,0.0216,0.0196,0.0039,0.5314,0.5275,0.5333,0.5137,0.4941,0.4824,0.4765,0.4725,0.4706,0.2294,0.3627,0.4275,0.4059,0.3471,0.3137,0.3039,0.298,0.3039,0.1471,0.1843,0.2608,0.2922,0.3039,0.3059,0.3824
